,Time,x,z,pitch,WG1,WG2,WG3
0,0.11,-0.01282785,-0.01876426,-1.341066,0.0008667983999999,-0.000141612,5.002249396939204e-05
1,0.12,-0.012828,-0.0187619,-1.34108,0.0009775037999999,-0.000172401,5.162406905278021e-05
2,0.13,-0.01282814,-0.01875937,-1.341095,0.0010882092,-0.00020319,5.322564413616839e-05
3,0.14,-0.01282827,-0.01875667,-1.341111,0.0011989146,-0.000233979,5.4827219219556565e-05
4,0.15,-0.01282835,-0.0187538,-1.341124,0.0013096199999999,-0.000264768,5.642879430294473e-05
5,0.16,-0.01282843,-0.0187508,-1.341139,0.0013967419999999,-0.0003077046,5.4621312876970864e-05
6,0.17,-0.0128285,-0.01874768,-1.341159,0.001483864,-0.0003506412,5.2813831450997005e-05
7,0.18,-0.01282855,-0.01874441,-1.341179,0.001570986,-0.0003935777999999,5.1006350025023146e-05
8,0.19,-0.01282856,-0.018741,-1.3412,0.0016581079999999,-0.0004365144,4.919886859904928e-05
9,0.2,-0.01282855,-0.01873746,-1.341222,0.00174523,-0.000479451,4.739138717307542e-05
10,0.21,-0.01282851,-0.01873374,-1.341246,0.0017957759999999,-0.000527389,4.489476121248292e-05
11,0.22,-0.01282842,-0.01872978,-1.341268,0.001846322,-0.000575327,4.2398135251890406e-05
12,0.23,-0.0128283,-0.01872559,-1.341289,0.001896868,-0.000623265,3.99015092912979e-05
13,0.24,-0.01282817,-0.01872118,-1.341313,0.001947414,-0.000671203,3.74048833307054e-05
14,0.25,-0.01282804,-0.01871655,-1.341339,0.00199796,-0.000719141,3.4908257370112884e-05
15,0.26,-0.01282789,-0.01871174,-1.341367,0.001999232,-0.0007474898,3.237686839131026e-05
16,0.27,-0.01282774,-0.01870683,-1.341395,0.002000504,-0.0007758386,2.9845479412507627e-05
17,0.28,-0.0128276,-0.01870183,-1.341425,0.002001776,-0.0008041874,2.7314090433705e-05
18,0.29,-0.01282745,-0.01869673,-1.341456,0.002003048,-0.0008325362,2.4782701454902383e-05
19,0.3,-0.01282731,-0.01869152,-1.341486,0.00200432,-0.000860885,2.2251312476099755e-05
20,0.31,-0.01282719,-0.01868622,-1.341516,0.001968826,-0.0008646194,1.953209939397282e-05
21,0.32,-0.01282708,-0.0186808,-1.341548,0.0019333319999999,-0.0008683538,1.6812886311845884e-05
22,0.33,-0.01282699,-0.01867523,-1.34158,0.001897838,-0.0008720882,1.4093673229718948e-05
23,0.34,-0.01282693,-0.01866951,-1.341614,0.001862344,-0.0008758226,1.1374460147592011e-05
24,0.35,-0.01282691,-0.01866366,-1.341648,0.00182685,-0.000879557,8.655247065465091e-06
25,0.36,-0.01282691,-0.01865765,-1.341684,0.001757222,-0.0008638464,5.874295487275598e-06
