,Time,x,z,pitch,WG1,WG2,WG3
19,0.2,-0.01282855,-0.01873746,-1.341222,0.00174523,-0.000479451,4.739138717307542e-05
20,0.21,-0.01282851,-0.01873374,-1.341246,0.0017957759999999,-0.000527389,4.489476121248292e-05
22,0.23,-0.0128283,-0.01872559,-1.341289,0.001896868,-0.000623265,3.99015092912979e-05
23,0.24,-0.01282817,-0.01872118,-1.341313,0.001947414,-0.000671203,3.74048833307054e-05
25,0.26,-0.01282789,-0.01871174,-1.341367,0.001999232,-0.0007474898,3.237686839131026e-05
26,0.27,-0.01282774,-0.01870683,-1.341395,0.002000504,-0.0007758386,2.9845479412507627e-05
28,0.29,-0.01282745,-0.01869673,-1.341456,0.002003048,-0.0008325362,2.4782701454902383e-05
29,0.3,-0.01282731,-0.01869152,-1.341486,0.00200432,-0.000860885,2.2251312476099755e-05
31,0.32,-0.01282708,-0.0186808,-1.341548,0.0019333319999999,-0.0008683538,1.6812886311845884e-05
32,0.33,-0.01282699,-0.01867523,-1.34158,0.001897838,-0.0008720882,1.4093673229718948e-05
34,0.35,-0.01282691,-0.01866366,-1.341648,0.00182685,-0.000879557,8.655247065465091e-06
35,0.36,-0.01282691,-0.01865765,-1.341684,0.001757222,-0.0008638464,5.874295487275598e-06
37,0.38,-0.01282701,-0.01864519,-1.341758,0.001617966,-0.0008324252,3.12392330896612e-07
39,0.4,-0.01282726,-0.01863235,-1.341835,0.0014787099999999,-0.000801004,-5.249510825482374e-06
40,0.41,-0.01282743,-0.01862584,-1.341874,0.0013760786,-0.0007671654,-7.685387076522344e-06
42,0.43,-0.01282787,-0.01861267,-1.341955,0.0011708158,-0.0006994882,-1.2557139578602311e-05
43,0.44,-0.01282814,-0.018606,-1.341995,0.0010681844,-0.0006656496,-1.4993015829642297e-05
45,0.46,-0.01282877,-0.01859239,-1.34208,0.0008228357999999,-0.0005790206,-1.9156128054597007e-05
46,0.47,-0.01282911,-0.01858547,-1.342124,0.0006801186,-0.0005262302,-2.0883364028511728e-05
48,0.49,-0.01282984,-0.01857138,-1.342212,0.0003946842,-0.0004206494,-2.4337835976341185e-05
49,0.5,-0.01283022,-0.01856423,-1.342256,0.000251967,-0.000367859,-2.6065071950255912e-05
51,0.52,-0.01283101,-0.0185498,-1.342344,-0.0001029634,-0.0002207154,-2.768329007872348e-05
52,0.53,-0.0128314,-0.01854254,-1.342391,-0.0002804286,-0.0001471436,-2.8492399142957263e-05
54,0.55,-0.0128322,-0.01852804,-1.342487,-0.000635359,5.015110000000003e-49,-3.011061727142483e-05
56,0.57,-0.01283299,-0.01851355,-1.34258,-0.0010286953999999,0.0001915891999999,-2.9885475956066815e-05
57,0.58,-0.01283336,-0.01850628,-1.342627,-0.0012253635999999,0.0002873837999999,-2.9772905298387808e-05
59,0.6,-0.01283405,-0.01849163,-1.342723,-0.0016187,0.0004789729999999,-2.9547763983029797e-05
60,0.61,-0.01283439,-0.01848426,-1.342772,-0.001848018,0.0005906123999999,-2.8772497908087476e-05
62,0.63,-0.01283506,-0.01846952,-1.342867,-0.002306654,0.0008138912,-2.7221965758202832e-05
63,0.64,-0.01283538,-0.01846217,-1.342916,-0.002535972,0.0009255306,-2.6446699683260512e-05
65,0.66,-0.01283596,-0.01844761,-1.343017,-0.002986414,0.001155078,-2.464154852652135e-05
66,0.67,-0.01283623,-0.01844041,-1.343066,-0.003207538,0.001272986,-2.3611663444724517e-05
68,0.69,-0.01283684,-0.0184261,-1.343162,-0.0036497859999999,0.0015088019999999,-2.155189328113086e-05
69,0.7,-0.01283713,-0.018419,-1.343209,-0.00387091,0.0016267099999999,-2.052200819933402e-05
71,0.72,-0.01283768,-0.01840488,-1.34331,-0.00432175,0.0018766339999999,-1.8972421682241304e-05
72,0.73,-0.01283794,-0.01839791,-1.343361,-0.00454717,0.0020015959999999,-1.8197628423694943e-05
74,0.75,-0.01283855,-0.01838412,-1.343456,-0.00499801,0.00225152,-1.6648041906602226e-05
76,0.77,-0.01283924,-0.0183705,-1.343548,-0.00542961,0.002493808,-1.6483371973266392e-05
77,0.78,-0.01283958,-0.0183638,-1.343597,-0.00564541,0.002614952,-1.6401037006598474e-05
79,0.8,-0.01284027,-0.01835076,-1.343703,-0.00607701,0.00285724,-1.623636707326264e-05
80,0.81,-0.01284064,-0.01834443,-1.34375,-0.006283636,0.002972158,-1.7077178885066732e-05
82,0.83,-0.01284157,-0.01833197,-1.343839,-0.006696888,0.0032019939999999,-1.8758802508674902e-05
83,0.84,-0.01284205,-0.01832582,-1.34388,-0.0069035139999999,0.003316912,-1.959961432047899e-05
85,0.86,-0.01284302,-0.01831371,-1.343973,-0.007327452,0.003556238,-2.214564408987859e-05
